6,25900
4,23403
6,25900
5,4958
4,23403
4,17111
4,23403
4,17111
2,17783
6,4909
2,17783
4,4948
5,10000
5,4958
4,4948
2,4899
3,7842
2,23403
2,4899
3,7842
10,5050
5,5046
5,10000
10,5050
3,13916
3,13916
5,10000
6,13512
4,4855
8,4994
6,4909
5,10000
6,4909
4,4877
4,23403
6,4909
3,25900
3,25900
4,5091
4,4877
5,5128
4,4925
6,13512
5,5128
3,14565
3,9599
5,5046
4,4855
2,5230
3,19680
8,4994
2,5230
2,4824
2,23403
3,19680
4,23403
3,14565
2,4824
4,5003
4,23403
4,5003
6,5060
5,5076
6,5060
2,5230
3,4885
3,9599
5,5076
2,5230
4,5000
4,4925
4,5000
2,5079
4,5091
3,4885
2,5079
